unique_id,first_name,surname,dob,city,email,cluster,gender,postcode,source_dataset,cluster_id
0,Robert,Alan,1971-06-24,,robert255@smith.net,0,M,,A,
1,Robert,Allen,1971-05-24,,roberta25@smith.net,0,M,,A,
2,Rob,Allen,1971-06-24,London,roberta25@smith.net,0,M,EC1Y,A,
3,Robert,Alen,1971-06-24,Lonon,,0,M,,A,
4,Grace,,1997-04-26,Hull,grace.kelly52@jones.com,1,F,HU5,A,
5,Grace,Kelly,1991-04-26,,grace.kelly52@jones.com,1,F,,A,
6,Logan,pMurphy,1973-08-01,,,2,M,,A,
7,,,2015-03-03,Portsmouth,evied56@harris-bailey.net,3,Unknown,PO5,A,
8,,Dean,2015-03-03,,,3,Unknown,,A,
9,Evie,Dean,2015-03-03,Pootsmruth,evihd56@earris-bailey.net,3,F,,A,
10,,Dean,2015-03-03,Portsmouth,evied56@harris-bailey.net,3,Unknown,PO5,A,
11,Isla,Hall,1985-02-07,,islahall97@gutierrez-bennett.com,4,F,,A,
12,Hall,Isla,1985-02-07,London,islahall97@gutierrez-bennett.com,4,F,W1J,A,
13,Isla,Hall,1985-02-07,,islahall97@gutierrez-bennett.com,4,F,,A,
14,Oliver,Griffiths,1991-10-26,Lunton,o.griffiths90@reyes-coleman.com,5,M,,A,
15,,Smith,1981-10-11,Bradford,muhammadsmith@brooks.com,6,Unknown,BD3,A,
16,Lucas,,1991-04-05,,l.c91@perez-gonzalez.com,7,M,,A,
17,Luas,Coox,1991-05-06,London,,7,M,SW1H,A,
18,Caleb,Rwoe,1992-11-20,Liverpool,,8,M,L74,A,
19,Rowe,Caleb,1992-12-20,Lvpreool,calebr@thompson.org,8,F,,A,
20,Caleb,Rowe,2003-01-17,,calebr@thompson.org,8,M,,A,
21,Darcy,Bernass,1986-02-04,Southampton,darcy.b@silva.com,9,F,SO15,A,
22,,Green,1974-10-05,Londdon,,10,Unknown,,A,
23,,Green,1984-10-03,,,10,Unknown,,A,
24,Thoas,Green,1974-10-05,London,thomas.green@clark.org,10,M,EC1V,A,
25,Gabriel,Thomas,1977-09-13,London,gabriel.t54@nichols.info,11,M,W1T,A,
26,Thomas,Gabriel,1976-09-15,Loodon,gabriel.t54@nnichls.info,11,M,,A,
27,,Thomas,1977-10-17,London,,11,Unknown,EC2V,A,
28,Thomas,Gabriel,1976-09-15,London,gabriel.t54@nichols.info,11,M,EC1Y,A,
29,Thomas,Gabriel,1976-08-15,,,11,M,,A,
30,Thomas,Gabriel,1976-09-15,London,gabriel.t54@nlchois.info,11,M,SW1Y,A,
31,Lola,Brown,1983-11-06,,lola.b@martinez-jones.net,12,F,,A,
32,Lola,Brown,1983-11-06,Bradford,lola.b@martinesz-jone.net,12,F,BD99,A,
33,,Brown,1983-11-06,Bradford,lola.b@martinez-jones.net,12,Unknown,BD9,A,
34,Lola,Brown,1983-11-06,Bradfofrd,,12,F,,A,
35,,Bron,1983-11-06,Bradford,,12,Unknown,BD9,A,
36,,Brrown,1983-11-06,Bradford,lola.b@martinez-jones.net,12,Unknown,BD9,A,
37,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13,M,B5,A,
38,Theodore,,1979-08-21,Bimingham,t.m39@brooks-sawyer.com,13,M,,A,
39,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13,M,B3,A,
40,Theodore,Mosrir,1978-09-19,Birminghaim,t.m39@brooks-sawyer.com,13,M,,A,
41,eTheodroe,,1978-08-19,,t.m39@brooks-sawer.com,13,M,,A,
42,Theodore,Morris,1978-09-18,Birgmhniam,,13,M,,A,
43,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13,M,B11,A,
44,Sebastian,,2015-04-04,,s.mitchell39@green.org,14,M,,A,
45,Sebastian,Mitchell,2015-05-04,,s.mitchell39@green.org,14,M,,A,
46,,Mitchell,2015-04-04,Leeds,s.mitchell39@green.org,14,Unknown,LS98,A,
47,Erin,Rogers,2010-01-02,London,e.rogers3@hopkins.org,15,F,SW1P,A,
48,Erin,Rogers,2010-01-30,,e.rogers3@hopkins.org,15,F,,A,
49,Erin,,2010-03-01,London,e.rogers3@honkips.org,15,F,SW1X,A,
50,Erin,Roers,2010-03-03,,,15,F,,A,
51,Jayden,Bennett,2017-01-11,Swansea,,16,M,SA1,A,
52,Jyayden,Bnennet,2017-01-11,Snawseaa,jb88@king.com,16,F,,A,
53,Jayden,Bennett,2017-01-11,Swwanea,jb88@king.com,16,M,,A,
54,Jayden,Bennett,2017-01-11,Swansea,jb88@king.com,16,M,SA1,A,
55,,Bennett,2017-01-11,Swansea,,16,Unknown,SA1,A,
56,Jayden,Bennett,2017-02-10,Swansea,jb88@king.com,16,M,SA1,A,
57,Jayaned,Bennett,2017-01-11,swansea,8jb88@king.com,16,M,SA1,A,
58,,Kikr,2010-08-06,CCardiff,p.kirk@hill.com,17,Unknown,,A,
59,,,1978-05-01,Southend-on-Sea,,18,Unknown,SS22,A,
60,lola,King,1977-04-01,Southend-on-Sea,,18,F,SS1,A,
61,,King,1977-04-01,Southend-on-Sea,lola.k63@bradle-barnes.info,18,Unknown,SS99,A,
62,Lola,King,1978-04-01,Southena-on-Sed,,18,F,,A,
63,Adam,Jsneo,1982-10-12,Bristol,ajones6@cortez-wilcox.com,19,M,BS39,A,
64,Adaam,Jones,1982-10-11,Bristol,ajones6@cortez-wilcox.com,19,F,BS35,A,
65,Adam,Jones,1992-09-11,oBristl,ajones6@cortez-wilcox.com,19,M,,A,
